TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WCMT,WRHR,QMWT,MSGA,MSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WACC,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,VCST,VRWS,WADS4,VCMT1,VCMT2,RDPOS,CPS,DPM,GENLD
0,2250.042236,573.5,611.4680786,611.4680786,535.5319214,535.5319214,15544.5,15544.5,788.5,788.5,2146.229248,2146.229248,2146.229248,2146.229248,11177,53.50000381,8.39233E-07,0,0,1113.602417,526.71698,0,0,3400,225000,225000,1708.5,1708.5,65,65,100,0,0,652.6446533,0,25.97857094,41.17657471,41.17657471,0,14.69999981,12.95647335,120,1,2.700000048,0.146408841,0,0,0,500,0,0,0.000352478,0,0,0,0.000352478,100,100,2048,2048,2048,611.4680786,0,0,13.22999954,1.099999785,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,98,100000000,52.11999893,1133.333374
5,1235.576538,567.9771729,601.5883789,601.5957642,527.550354,541.7305298,17617.67773,16288.01563,850.9458008,850.673645,879.2932129,878.9460449,4.16104126,-4.16104126,10092.53809,4.206274509,-4.673E-07,19619.26758,0,1183.23877,577.0899658,133.2480316,989.1783447,2453.79126,226722.5938,226735.8281,789.3404541,780.6535034,45.80898666,45.75308609,0,0,0,571.0412598,269.0565186,18.23241425,-30.54711914,-30.55450439,0,26.17786026,14.73313808,199.4877777,2.71590519,3.874276161,67.95636749,19619.26758,0,64.9994812,0,0,0,-0.008496094,0.13722913,0.655606866,-1.803999901,-1.019660115,5.750789642,72.17033386,1541.956909,1541.956909,1541.956909,601.5883789,0,0,33.07500076,4107.121094,2.250405073,3.299999952,4.399999142,5655.050781,3.088522434,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,48.00000763,38824850.01,-30.74986649,0
10,1132.381836,561.7646484,580.2362671,580.2390747,536.2557983,550.6541748,16975.90625,16222.4873,908.5309448,908.1776733,282.033905,280.5108032,5.240578175,-5.240578175,7828.60498,0,21.7139492,16316.63379,0,1187.089844,605.185791,160.9047546,975.0915527,179.5727234,229256.3281,229314.8906,336.6338501,328.9798279,47.04919815,46.9607048,0,0,0,561.635498,265.2249146,2.061464071,-18.60076904,-18.60357666,0,34.59445572,15.32244301,225.853241,3.719876766,52.72310257,92.58594513,16316.63379,0,64.99861908,0,0,0.008278111,-0.060130313,0.280680597,1.62707901,-3.607999802,-1.760370493,4.661705017,5.281550884,1173.566528,726.2391357,792.1069336,998.4788818,0,0,33.07500076,5900.855957,2.376386404,3.299999952,4.399999142,5653.135254,3.088440895,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,12154204.21,-2.483526468,0
15,856.1299438,546.3959961,556.2954102,556.2964478,530.1929932,542.9730225,10526.48926,10243.9375,925.239563,925.1744385,0,0,2.305682659,-2.305682659,6869.268066,0,31.30731964,4104.043457,0,1197.071045,1197.071045,172.6242371,943.7561035,169.7671509,229633.6094,229729.3594,69.14822388,69.13207245,47.3286171,47.29145813,0,0,0,529.079834,256.7016602,-4.790942192,-27.21557617,-27.21661377,0,39.48315811,15.56084347,236.5190735,3.759283543,49.0162468,102.47052,4104.043457,0,64.99775696,0,0,0.021050423,-0.116021737,0.588207066,1.697668672,-3.607999802,-1.438145876,4.345723629,4.993151665,1164.918091,737.6209717,737.6209717,1021.060181,0,0,33.07500076,6358.996582,2.50232482,3.299999952,4.399999142,5651.220215,3.088359356,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,8495884.112,-1.547817588,0
20,671.6367188,522.9193115,528.4625244,528.4629517,511.878479,523.0197754,5706.714355,5558.524902,927.1729126,927.1727295,0,0,0.013481938,-0.013481938,6310.383301,0,36.89616776,3159.773438,0,1202.097534,1202.097534,179.4516907,892.0865479,163.3259888,229631.5938,229731.375,-0.004990858,-0.004981457,47.32444763,47.34692383,0,0,0,501.1195984,242.6475372,-8.782976151,-27.34292603,-27.34335327,0,43.72938919,15.76791286,245.7832031,3.78883481,46.44845581,110.6061554,3159.773438,0,64.99689484,0,0,0.03503352,-0.187576458,0.938350081,1.683771253,-3.607999802,-1.173455,4.114480972,4.803705692,1155.758179,748.3479004,748.3479004,1037.79187,517.3892822,0,33.07500076,6734.393066,2.628219128,3.299999952,4.399999142,5649.307617,3.088278055,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,6629140.546,-1.162461758,0
25,526.8240356,496.9815369,500.4395447,500.4397278,488.8221741,498.3428345,3169.596191,3091.876221,927.1714478,927.1714478,0,0,0,0,5839.64502,0,41.60354996,2440.657471,0,1204.407471,1204.407471,185.2023468,834.852417,157.4209595,229631.5938,229731.375,-0.016847311,-0.016801767,47.3241539,47.34719467,0,0,0,472.7078552,227.0798492,-12.14539242,-27.73168945,-27.73187256,0,46.83829498,15.9040699,251.8747559,3.809461117,47.66130066,116.3641281,2440.657471,0,64.99603271,0,0,0.049627528,-0.487458497,1.178405643,1.681537271,-3.607999802,-1.235515475,3.936448812,4.630028248,1146.225342,750.0722656,750.0722656,1051.934814,948.0828247,0,33.07500076,7038.237305,2.754070997,3.299999952,4.399999142,5647.39502,3.088196516,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,5427089.729,-0.981594145,0
30,414.8718872,476.0222778,478.4416199,478.7672729,469.1954651,477.7850037,1832.254883,1791.493774,927.1688843,927.1688843,0,0,0,0,5534.557617,0,44.65442276,1919.894287,0,1204.549683,1204.549683,188.9293518,786.0686646,151.7879639,229631.5938,229731.375,-0.025272876,-0.025182918,47.32413483,47.34717178,0,0,0,450.4108887,213.8106842,-14.32458878,-28.0307312,-28.35638428,0,48.89636993,15.97739315,255.1553345,3.824223757,51.4499855,119.3568573,1919.894287,0,64.99516296,0,0,0.063916735,-0.839943886,1.277581096,1.683930278,-3.607999802,-1.486432314,3.796360016,4.464351654,1136.919434,748.2251587,748.2251587,1067.511353,1080.644409,0,33.07500076,7284.79541,2.879880428,3.299999952,4.399999142,5645.484375,3.088115215,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,4554532.811,-0.880216718,0
35,334.053833,461.5240173,463.4916992,463.9442749,455.413147,463.3269653,1128.582642,1107.205078,927.1657715,927.1657715,0,0,-0.001929512,0.001929512,5414.660645,0,45.85339355,1542.792358,0,1203.604614,1203.604614,190.394043,752.7643433,146.8012085,229631.5938,229731.375,-0.029073542,-0.028953619,47.32411194,47.3471489,0,0,0,429.0625,204.7518921,-15.18099499,-34.42919922,-34.8817749,0,50.33651733,16.0287056,257.4509277,3.83700037,56.60243225,121.4397278,1542.792358,0,64.99430084,0,0,0.07760673,-1.201746583,1.304710269,1.688373327,-3.607999802,-1.816662908,3.683708906,4.317682743,1128.037476,744.7957153,744.7957153,1085.479492,1124.805542,0,33.07500076,7486.304688,3.005645514,3.299999952,4.399999142,5643.574219,3.088033676,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,3879411.71,-0.816537797,0
40,273.420929,450.1614075,451.8646545,452.372345,444.5477295,451.9195251,759.5852661,748.3734131,927.1621094,927.1621094,0,0,0,0,5337.977051,0,46.62022781,1260.338867,0,1202.004761,1202.004761,191.3308258,726.7629395,142.4200287,229631.5938,229731.375,-0.03062514,-0.030500699,47.32408905,47.34710312,0,0,0,409.9816284,197.6795349,-15.72873497,-41.88302612,-42.39071655,0,51.69293976,16.07703209,259.6130676,3.850702286,62.64038467,123.2650299,1260.338867,0,64.99343872,0,0,0.090591639,-1.558956623,1.305799842,1.693801641,-3.607999802,-2.167355061,3.591007948,4.188824177,1119.640259,740.6057129,740.6057129,1104.333008,1140.128174,0,33.07500076,7653.127441,3.131367922,3.299999952,4.399999142,5641.665527,3.087952614,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,3336457.641,-0.773942351,0
45,227.4905701,440.7387085,442.2661438,442.7879639,435.5115356,442.427948,566.8999634,561.0198364,927.1584473,927.1584473,0,0,0,0,5313.833984,0,46.86166,1047.244751,0,1200.036011,1200.036011,191.6257629,705.2398682,138.5479431,229631.5938,229731.375,-0.031267308,-0.03116224,47.32404327,47.34708023,0,0,0,393.9437256,191.8252411,-15.90118599,-48.32241821,-48.84423828,0,53.22071075,16.13146591,262.0483398,3.866202116,69.01338959,125.4606934,1047.244751,0,64.9925766,0,0,0.102844968,-1.906270385,1.295033693,1.699714303,-3.607999802,-2.519522429,3.51290226,4.074939728,1111.736938,736.0419312,736.0419312,1123.588501,1139.847168,0,33.07500076,7793.131836,3.2570467,3.299999952,4.399999142,5639.757813,3.087871075,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,2888597.534,-0.744048834,0
