TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WCMT,WRHR,QMWT,MSGA,MSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WACC,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,VCST,VRWS,WADS4,VCMT1,VCMT2,RDPOS,CPS,DPM,GENLD
0,2250.042236,573.5,611.4680786,611.4680786,535.5319214,535.5319214,15544.5,15544.5,788.5,788.5,2146.229248,2146.229248,2146.229248,2146.229248,11177,53.50000381,8.39233E-07,0,0,1113.602417,526.71698,0,0,3400,225000,225000,1708.5,1708.5,65,65,100,0,0,652.6446533,0,65.76999664,41.17657471,41.17657471,0,14.69999981,12.95647335,120,1,2.700000048,0.146408841,0,0,0,500,0,0,0.000352478,0,0,0,0.000352478,100,100,2048,2048,2048,611.4680786,0,0,13.22999954,1.099999785,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,98,100000000,52.11999893,1133.333374
5,2091.461914,575.8977051,612.6795654,612.7185059,535.885376,535.8464355,15770.38477,15615.31445,790.8693237,790.8662109,2130.568604,2130.362549,2147.969238,2144.489258,10891.76367,40.53470612,-1.37329E-06,3801.652588,0,1124.280762,528.9900513,0,0,3330.466064,224975.875,224979.1094,1767.027588,1764.255737,65.43186188,65.41147614,100,0,0,643.810791,0,62.91763687,31.13122559,31.09228516,0,16.37662125,13.41438484,140.4870758,1.220821857,2.772782564,2.896703959,3801.652588,0,0,1600.000052,0,0,0.000887451,-0.062489435,0.045304902,0.000176,-0.016121086,92.87476349,97.95488739,2013.030518,2013.030518,2013.030518,612.6795654,0,0,33.07500076,729.9606934,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,98.00487518,92874765.4,-0.261778921,1133.333374
10,1843.978027,577.0358887,614.3939819,614.8129272,537.2528687,536.8339233,16482.10156,15992.81543,798.7683105,798.7481079,2099.444092,2097.739746,2153.507568,2138.950928,10444.95215,20.22509003,-1.67847E-06,3396.831787,0,1146.313232,532.6741943,0,0,3225.844727,224778.1875,224826.5938,1786.304688,1775.137573,66.13080597,66.01226044,100,0,0,626.1617432,0,58.44952011,11.76776123,11.34881592,0,17.82984543,13.71436596,153.9082336,1.421187282,2.933396816,4.94712925,3396.831787,0,0,1600.000052,0,0,0.000887451,-0.092779487,0.094629943,0.000234667,0.002972575,94.12613678,94.87778473,1974.958008,1974.958008,1974.958008,614.3939819,0,0,33.07500076,1318.619263,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,98.00650024,94126141.07,0.142633513,1133.333374
15,1623.15979,579.9309082,607.3873901,607.9599609,547.3685913,546.7960205,17146.49023,16515.90625,881.3054199,881.0025024,627.3478394,625.314209,4.536869526,-4.536869526,10123.96973,5.63497591,-2.56538E-06,2899.504395,0,1161.849365,564.6843872,0,0,1878.249023,227441.0156,227527.4688,860.4911499,851.8392944,46.28171921,46.21882248,0,0,0,608.4376221,0,55.2396965,1.050231934,0.477661133,0,19.21319008,13.94129848,164.0613098,1.594504595,5.137354374,6.468118191,2899.504395,0,0,1600.000052,0,0,0.000888214,-0.171660483,0.935119271,-3.607999802,-2.843652964,5.55609417,55.24261856,1326.209717,1326.209717,1326.209717,607.3873901,0,0,33.07500076,1790.636475,2.288204193,3.299999952,4.399999142,5654.476074,3.088497877,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,0,9778112.503,-10.51670933,0
20,1535.629272,575.4874268,596.5212402,596.779541,547.5432129,561.2536011,17341.67773,16978.05859,939.2029419,938.5336914,137.7621002,134.7145691,7.088214397,-7.088214397,9924.49707,0,0.755029321,1871.607422,0,1167.817993,617.0718384,135.1713867,1003.762878,828.0352783,229147.7344,229279.3281,305.9706116,288.6307983,47.33869553,47.23838806,0,0,0,599.9151001,273.0234985,53.24497223,3.393859863,3.135559082,0,20.07363892,14.07492065,170.0394592,1.710686922,11.77159119,44.42396545,1871.607422,0,64.9994812,0,0,0,-0.032356873,-0.051670074,1.476410747,-3.607999802,-2.215615988,5.255364895,24.35397911,908.4031982,908.4031982,908.4031982,596.5212402,0,0,33.07500076,2105.310791,2.414172173,3.299999952,4.399999142,5652.561035,3.088416338,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.89292908,99.89292908,0,5832940.195,-2.111558914,0
25,1475.302612,575.6152344,588.6715088,588.776062,555.4681396,569.5657349,11791.13867,11756.94727,962.3184814,962.276062,0,0,1.725997448,-1.725997448,9695.942383,0,3.04057622,1839.618042,0,1171.178589,609.4025269,137.8194885,1003.741821,417.8418579,229207.2031,229386.5313,185.7380219,185.763382,47.55298615,47.5478096,0,0,0,594.4806519,273.0177612,50.95942307,5.809143066,5.704589844,0,21.09061432,14.1993103,175.6046143,1.809848666,19.3684082,49.28234863,1839.618042,0,64.99861908,0,0,0,-0.075229645,-0.055034842,1.686028838,-3.607999802,-2.052235603,4.775932789,12.28946686,746.6054077,746.6054077,746.6054077,588.6715088,0,0,33.07500076,2360.204102,2.540097952,3.299999952,4.399999142,5650.646484,3.088334799,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.78579712,99.78579712,0,4259082.07,-1.396253467,0
30,1408.973511,574.1220093,585.6256714,585.6777344,555.5800171,569.6243286,6427.399902,6409.467773,982.9912109,982.9885864,0,0,0.083806574,-0.083806574,9455.397461,0,5.446025372,1805.020264,0,1174.63855,600.9699707,140.61409,1000.230103,258.063385,229205.6406,229388.0938,160.5367279,160.5094147,47.72323608,47.76405716,0,0,0,588.5186157,272.0625916,48.55397415,2.892944336,2.840881348,0,21.90690422,14.29911041,180.0697784,1.907018661,22.56446075,53.29026031,1805.020264,0,64.99775696,0,0,0,-0.118754424,-0.016039811,1.76966548,-3.607999802,-1.973128796,4.5128088,7.590099335,682.0487671,682.0487671,682.0487671,585.6256714,0,0,33.07500076,2602.890137,2.665979385,3.299999952,4.399999142,5648.733887,3.08825326,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.67867279,99.67867279,0,3384929.238,-1.095124364,0
35,1338.201294,571.2647095,584.0539551,584.0830688,551.5880737,565.3517456,3610.725098,3601.321045,1000.517822,1000.515442,0,0,0.074393727,-0.074393727,9214.59668,0,7.85403347,1764.317017,0,1178.170166,591.7268677,143.4118195,993.7007446,195.0738373,229205.2188,229388.5156,130.0416565,130.0095367,47.8872757,47.92864609,0,0,0,581.8220215,270.2866211,46.14596558,-2.231933594,-2.261047363,0,22.56826782,14.3799715,183.6874695,2.002674818,22.72524452,56.53353119,1764.317017,0,64.99689484,0,0,0,-0.162878573,0.056659766,1.805609345,-3.607999802,-1.90860939,4.322467804,5.737465858,654.3046875,654.3046875,654.3046875,584.0539551,0,0,33.07500076,2833.79126,2.79181838,3.299999952,4.399999142,5646.821777,3.088172197,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.57154083,99.57154083,0,2796181.561,-0.945563138,0
40,1264.708618,566.7157593,580.3494873,580.3670044,546.3863525,559.7758179,2130.128662,2125.196777,1014.1073,1014.105347,0,0,0.063061424,-0.063061424,8988.954102,0,10.11045837,1720.983765,0,1181.647339,581.8968506,146.024353,983.2630005,170.4369202,229204.9063,229388.8281,94.44490051,94.41462708,48.01590729,48.05773544,0,0,0,574.5561523,267.4475403,43.88954163,-5.793334961,-5.810852051,0,23.18570328,14.44893932,186.7731018,2.097878695,21.11921692,59.26506042,1720.983765,0,64.99603271,0,0,0,-0.20754607,0.167280152,1.824226975,-3.607999802,-1.824038982,4.174712181,5.012850761,639.9344482,639.9344482,639.9344482,580.3494873,0,0,33.07500076,3053.19873,2.917614222,3.299999952,4.399999142,5644.912109,3.088090897,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.4644165,99.4644165,0,2358840.613,-0.858162999,0
45,1230.143066,562.2987671,576.5452271,576.5615234,540.3509521,555.7522583,1350.922852,1348.336182,1023.628479,1023.627136,0,0,0.044083975,-0.044083975,8842.452148,0,11.57547855,1697.7771,0,1183.433105,576.5227051,147.6700897,972.6047363,158.4145966,229204.625,229389.1094,63.55648041,63.53360367,48.10653305,48.14893723,0,0,0,570.6055908,264.5484924,42.4245224,-5.93963623,-5.955932617,0,23.75849152,14.50472927,189.269165,2.184306622,18.90000916,61.49172211,1697.7771,0,64.99516296,0,0,0,-0.255861372,0.268792778,1.836498022,-3.607999802,-1.758570433,4.054724693,4.659252644,630.4628296,630.4628296,630.4628296,576.5452271,0,0,33.07500076,3241.618164,3.043366909,3.299999952,4.399999142,5643.001953,3.088009596,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,99.35728455,99.35728455,0,2015864.661,-0.802021623,0
